location,total_sqft,bath,bhk,price,price_per_sqft
Kirkland,2090,2.75,4,710000,339.7129186602871
Kirkland,1410,1.0,3,650000,460.9929078014184
Woodinville,2820,2.5,4,369900,131.17021276595744
Carnation,2770,2.5,4,641000,231.40794223826714
Seattle,1400,1.0,3,403000,287.85714285714283
Seattle,3620,3.25,3,1020000,281.76795580110496
Mercer Island,2260,2.5,4,865000,382.7433628318584
Mercer Island,3440,2.5,4,2490000,723.8372093023256
Seattle,2150,1.0,4,810000,376.74418604651163
Seattle,1256,2.5,3,316750,252.18949044585986
Issaquah,2220,2.25,4,652500,293.9189189189189
Seattle,2850,2.75,6,360000,126.3157894736842
Renton,700,1.0,2,208000,297.14285714285717
Woodinville,3700,2.5,4,898000,242.7027027027027
Kenmore,1400,1.75,4,295000,210.71428571428572
Seattle,3130,1.75,4,652500,208.4664536741214
Issaquah,2170,3.0,4,560000,258.06451612903226
Renton,1020,1.0,3,280000,274.5098039215686
Seattle,1760,2.5,3,289950,164.7443181818182
Renton,1860,2.5,3,397500,213.70967741935485
Woodinville,1140,1.0,2,380000,333.3333333333333
North Bend,1670,2.5,3,415900,249.04191616766468
Seattle,1710,1.75,2,475000,277.77777777777777
Seattle,500,1.0,1,125000,250.0
Kent,1470,1.0,3,238000,161.9047619047619
Seattle,1370,1.5,4,296000,216.05839416058393
Kenmore,3470,3.0,6,475000,136.88760806916426
Seattle,1650,2.25,3,390000,236.36363636363637
Seattle,1180,1.0,3,425000,360.1694915254237
Seattle,3110,3.0,6,725000,233.11897106109325
Redmond,2080,2.25,3,605000,290.86538461538464
Seattle,1600,1.0,3,302000,188.75
Seattle,2380,2.25,3,886000,372.2689075630252
Seattle,1630,1.75,4,540000,331.28834355828224
Woodinville,1910,2.25,4,435000,227.74869109947645
Seattle,3140,3.25,4,409000,130.25477707006368
Redmond,1250,1.0,3,405000,324.0
Sammamish,1990,2.5,3,560200,281.5075376884422
Renton,2110,1.75,4,324000,153.55450236966826
Auburn,2490,2.5,4,390000,156.6265060240964
Renton,800,1.0,2,414000,517.5
Snoqualmie,2360,2.5,3,441500,187.07627118644066
Seattle,1770,2.5,3,375000,211.864406779661
Sammamish,2710,2.5,4,668500,246.6789667896679
Seattle,1940,1.5,5,540000,278.35051546391753
Seattle,3450,3.25,4,1040000,301.4492753623188
Seattle,3440,3.25,4,1350000,392.4418604651163
Kirkland,2410,2.75,4,758000,314.5228215767635
Bellevue,2290,2.25,4,949880,414.7947598253275
Seattle,1030,1.0,3,570000,553.3980582524272
Bellevue,2290,2.5,4,736000,321.3973799126638
Seattle,1490,1.5,3,670000,449.66442953020135
Seattle,2370,1.75,4,1130000,476.7932489451477
Seattle,1930,2.0,4,650000,336.78756476683935
Seattle,1600,1.75,2,690000,431.25
Redmond,2240,2.25,4,610000,272.32142857142856
Seattle,770,1.0,2,413500,537.012987012987
Sammamish,2300,2.5,3,765000,332.60869565217394
Bellevue,3400,2.75,4,828200,243.58823529411765
Renton,900,1.0,2,205000,227.77777777777777
Seattle,1450,2.5,3,465000,320.6896551724138
Seattle,2240,2.5,4,556000,248.21428571428572
Issaquah,1780,2.5,4,540000,303.3707865168539
Renton,2320,2.5,4,423000,182.32758620689654
Bellevue,1590,1.75,3,375000,235.8490566037736
Seattle,990,1.0,3,173250,175.0
Duvall,2605,1.5,3,599900,230.28790786948176
Seattle,2870,2.75,5,646000,225.0871080139373
Snoqualmie,5180,4.75,5,1080000,208.4942084942085
Seattle,2180,2.0,4,558000,255.96330275229357
Seattle,850,1.0,2,354000,416.47058823529414
Mercer Island,4050,4.0,4,1200000,296.2962962962963
Seattle,2250,2.0,4,670000,297.77777777777777
Seattle,3100,4.25,6,1130000,364.51612903225805
Auburn,1747,1.0,2,267500,153.1196336576989
Auburn,2410,2.5,4,299800,124.39834024896265
Bellevue,2070,1.75,4,430000,207.72946859903382
Seattle,1860,1.0,5,775000,416.6666666666667
Seattle,950,1.0,3,333000,350.5263157894737
Seattle,1060,2.0,3,336000,316.9811320754717
Seattle,880,1.0,2,323000,367.04545454545456
Issaquah,2550,2.5,4,575000,225.49019607843138
Seattle,1550,2.25,2,328000,211.61290322580646
Seattle,1590,1.0,3,572500,360.062893081761
Seattle,1650,1.75,3,600000,363.6363636363636
Maple Valley,2430,3.0,4,412000,169.54732510288065
Kirkland,1810,2.5,3,827500,457.18232044198896
Federal Way,2890,2.5,4,300000,103.80622837370242
Seattle,1280,2.5,3,415000,324.21875
Seattle,3410,2.75,7,750000,219.94134897360703
Seattle,2220,2.75,3,800000,360.36036036036035
Seattle,1060,1.0,3,420000,396.22641509433964
Renton,1120,1.5,3,266000,237.5
Duvall,2680,2.5,4,499000,186.19402985074626
Seattle,1770,1.5,4,440000,248.58757062146893
Seattle,2950,2.0,3,495000,167.79661016949152
Seattle,1260,1.75,2,630000,500.0
Kirkland,1430,1.75,3,424000,296.5034965034965
Redmond,2730,2.5,4,760000,278.38827838827837
Sammamish,3270,3.5,4,650000,198.77675840978594
Kent,1720,1.75,4,248500,144.47674418604652
Renton,1270,1.75,3,379600,298.8976377952756
Seattle,3260,2.5,4,538000,165.03067484662577
Issaquah,2050,2.5,4,530000,258.5365853658537
Bellevue,2050,2.25,4,545000,265.8536585365854
Woodinville,3580,3.0,4,925000,258.37988826815644
Woodinville,1960,2.75,4,565000,288.265306122449
Seattle,840,1.0,2,405100,482.26190476190476
Bellevue,1300,1.75,3,502000,386.15384615384613
Issaquah,1260,2.25,3,425000,337.3015873015873
Kent,1650,2.25,3,233500,141.5151515151515
Kent,1710,2.5,3,287000,167.83625730994152
Auburn,1180,1.0,3,190000,161.01694915254237
Redmond,2780,2.25,3,666000,239.568345323741
Seattle,950,1.0,2,330000,347.36842105263156
Mercer Island,3620,3.5,5,1490000,411.6022099447514
Maple Valley,2140,2.25,3,393000,183.6448598130841
Seattle,1920,2.75,4,353000,183.85416666666666
Seattle,750,1.0,2,260000,346.6666666666667
Bellevue,2060,2.5,3,680000,330.09708737864077
Bellevue,2380,2.25,3,921000,386.97478991596637
Seattle,750,1.0,2,319000,425.3333333333333
Sammamish,1160,1.0,3,280000,241.3793103448276
Seattle,1050,1.0,3,220000,209.52380952380952
Kent,1740,1.5,3,219000,125.86206896551724
Sammamish,2050,2.75,4,528000,257.5609756097561
Seattle,1980,1.75,3,405000,204.54545454545453
Issaquah,1690,2.5,3,372977,220.69644970414203
Seattle,2320,3.25,4,934550,402.82327586206895
Seattle,2480,1.5,3,1470000,592.741935483871
Seattle,2290,2.25,4,975000,425.764192139738
Kirkland,3180,2.5,5,800866,251.8446540880503
Bellevue,3470,3.5,7,950000,273.7752161383285
Seattle,1540,3.0,4,624000,405.1948051948052
Sammamish,2800,2.25,5,1850000,660.7142857142857
Kenmore,1050,1.0,3,310000,295.23809523809524
Renton,1480,1.75,3,315000,212.83783783783784
Kirkland,1010,2.0,3,675000,668.3168316831683
Bellevue,1660,1.75,3,490000,295.1807228915663
Seattle,2760,2.25,5,600000,217.3913043478261
Carnation,1040,1.0,2,154000,148.07692307692307
Seattle,2220,1.75,4,480000,216.21621621621622
Seattle,1270,1.0,3,196900,155.03937007874015
Bothell,2960,3.25,3,735000,248.3108108108108
Federal Way,1330,2.0,3,205500,154.51127819548873
Issaquah,1210,1.75,2,357186,295.19504132231407
Kent,2120,2.5,4,275000,129.71698113207546
Auburn,2090,1.75,3,248500,118.89952153110048
Auburn,2680,2.5,3,350000,130.59701492537314
North Bend,1790,2.75,4,390000,217.87709497206703
Kenmore,1950,2.75,3,390000,200.0
Sammamish,3740,2.25,5,660000,176.47058823529412
Seattle,1140,1.75,3,310000,271.9298245614035
Redmond,2480,2.5,3,717000,289.11290322580646
Seattle,2580,2.5,5,260000,100.7751937984496
Seattle,2290,2.0,3,745000,325.32751091703057
Woodinville,2320,2.5,4,470000,202.58620689655172
Kent,2530,2.5,3,429000,169.56521739130434
Seattle,1400,2.0,4,220000,157.14285714285714
Seattle,2060,3.0,3,497000,241.2621359223301
Seattle,1640,1.0,3,716100,436.6463414634146
Issaquah,1960,1.0,4,371000,189.28571428571428
Issaquah,3000,2.75,5,379000,126.33333333333333
Medina,1320,1.0,3,937500,710.2272727272727
Seattle,1760,2.0,4,720000,409.09090909090907
Seattle,2130,3.25,3,616000,289.2018779342723
Kent,1390,2.0,3,259000,186.33093525179856
Seattle,1400,1.75,3,538000,384.2857142857143
Kirkland,3230,2.75,3,605000,187.3065015479876
Kirkland,1110,1.0,3,369950,333.2882882882883
Maple Valley,1670,2.5,3,310000,185.62874251497007
Seattle,1540,1.0,3,227500,147.72727272727272
Federal Way,2090,2.25,4,274000,131.10047846889952
Kirkland,1410,2.0,3,410000,290.78014184397165
Kent,1370,2.0,3,354800,258.978102189781
Seattle,1910,2.25,4,650000,340.31413612565444
Kent,1678,2.0,3,353000,210.3694874851013
Maple Valley,960,1.0,3,224975,234.34895833333334
Seattle,2080,1.75,2,600000,288.46153846153845
Kirkland,1790,2.25,3,437500,244.41340782122904
Kirkland,2540,2.5,3,567000,223.22834645669292
Seattle,1790,1.5,5,225000,125.69832402234637
Seattle,940,1.0,2,255000,271.27659574468083
Seattle,6810,3.75,5,2480000,364.17033773861965
Seattle,900,1.0,2,370000,411.1111111111111
Kirkland,1900,1.75,4,675000,355.2631578947368
Seattle,1440,1.0,3,285000,197.91666666666666
Renton,2070,1.75,3,310000,149.7584541062802
Kirkland,2240,2.5,4,475000,212.05357142857142
Kent,3320,2.5,4,410000,123.49397590361446
Seattle,1950,2.25,4,895000,458.97435897435895
Seattle,1240,1.5,3,375000,302.4193548387097
Maple Valley,1830,2.5,4,349000,190.71038251366122
Seattle,1740,1.75,3,650500,373.85057471264366
Bellevue,1410,1.75,3,760000,539.0070921985815
Seattle,2050,2.75,4,480000,234.14634146341464
Sammamish,3220,2.75,4,689000,213.9751552795031
Seattle,1960,1.75,3,415000,211.73469387755102
Auburn,1070,1.75,3,195000,182.2429906542056
Seattle,2820,2.5,5,318000,112.76595744680851
Auburn,4060,3.0,4,404000,99.50738916256158
Seattle,800,1.0,2,339950,424.9375
Enumclaw,1260,1.0,3,215000,170.63492063492063
Auburn,2420,2.5,3,339900,140.45454545454547
Kirkland,810,1.5,1,285000,351.85185185185185
Seattle,1600,1.0,3,550000,343.75
Seattle,1350,1.0,4,430000,318.51851851851853
Federal Way,970,1.0,3,219000,225.77319587628867
Seattle,1780,1.5,2,555000,311.7977528089888
Maple Valley,1350,2.0,3,233000,172.59259259259258
Federal Way,1840,1.75,3,248000,134.7826086956522
Seattle,2550,2.25,5,454000,178.0392156862745
Seattle,1700,2.5,4,950000,558.8235294117648
Renton,2430,2.5,3,359000,147.7366255144033
Seattle,2740,2.0,5,407500,148.72262773722628
Auburn,1560,1.5,3,224000,143.5897435897436
Seattle,1040,1.0,2,210000,201.92307692307693
Kent,1820,1.75,4,261000,143.4065934065934
Seattle,1833,3.0,3,719000,392.253136933988
Seattle,2160,2.5,3,440000,203.7037037037037
North Bend,2100,2.75,3,525000,250.0
Kirkland,1370,1.5,3,375000,273.7226277372263
Bellevue,1414,2.5,2,428000,302.6874115983027
Redmond,4115,3.25,5,988830,240.2989064398542
Auburn,1550,1.75,3,199950,129.0
Seattle,2100,2.25,4,840000,400.0
Enumclaw,1160,1.75,3,285000,245.68965517241378
Auburn,3597,2.5,5,330000,91.74311926605505
Seattle,1230,1.5,3,147500,119.91869918699187
Kent,2190,2.5,4,320000,146.11872146118722
Issaquah,1040,1.75,3,382500,367.78846153846155
Seattle,4690,4.0,5,2050000,437.1002132196162
Bellevue,2270,2.25,4,596000,262.55506607929516
Federal Way,1950,2.25,4,220000,112.82051282051282
Kent,1880,2.5,3,325000,172.87234042553192
Sammamish,2850,2.5,4,679950,238.57894736842104
Seattle,1160,1.0,2,175000,150.86206896551724
Federal Way,1370,1.75,3,268000,195.62043795620437
Redmond,3260,3.5,4,715000,219.32515337423314
Issaquah,3170,2.25,7,600000,189.2744479495268
Seattle,390,1.0,0,228000,584.6153846153846
Redmond,3450,2.5,5,950000,275.3623188405797
Auburn,1490,1.75,2,475000,318.79194630872485
Sammamish,1460,1.5,3,700000,479.45205479452056
Fall City,1300,1.75,3,275000,211.53846153846155
Fall City,1300,1.75,3,369500,284.2307692307692
Kent,1540,2.0,4,215000,139.6103896103896
Bellevue,2130,2.25,4,593450,278.61502347417843
Redmond,1350,1.75,2,498800,369.48148148148147
Seattle,2450,3.25,5,849000,346.53061224489795
Seattle,1940,2.5,4,1150000,592.7835051546392
Issaquah,2890,2.5,5,825000,285.46712802768167
Renton,1680,1.75,3,265000,157.73809523809524
Federal Way,1960,2.25,4,285000,145.40816326530611
Maple Valley,1590,1.75,3,240000,150.9433962264151
Federal Way,1390,1.0,4,261000,187.76978417266187
Kent,2440,1.75,4,330000,135.24590163934425
Kent,1850,2.0,4,250000,135.13513513513513
Federal Way,2800,2.5,4,350000,125.0
Woodinville,3780,2.5,3,930000,246.03174603174602
Kent,1910,2.0,3,275000,143.97905759162305
Seattle,2460,2.25,4,325000,132.1138211382114
Seattle,810,1.0,1,255000,314.81481481481484
Seattle,1900,1.5,3,562200,295.89473684210526
Bellevue,3490,1.75,2,952000,272.77936962750715
Renton,2200,2.5,3,365000,165.9090909090909
Woodinville,1190,1.5,3,332900,279.74789915966386
Redmond,2040,2.25,3,721000,353.4313725490196
Snoqualmie,2400,2.5,4,487275,203.03125
Renton,1670,2.5,3,310000,185.62874251497007
Seattle,990,1.0,2,245000,247.4747474747475
Renton,2920,1.75,3,325000,111.3013698630137
Sammamish,1840,1.75,3,550000,298.9130434782609
Seattle,910,1.0,2,350000,384.61538461538464
Renton,2950,2.5,5,599000,203.05084745762713
Seattle,1240,1.5,3,259950,209.63709677419354
Maple Valley,1980,2.5,4,240000,121.21212121212122
Kent,1200,1.0,3,186000,155.0
Sammamish,1280,1.5,3,395000,308.59375
Renton,3150,2.5,4,475000,150.79365079365078
Sammamish,3500,3.5,5,815000,232.85714285714286
Mercer Island,1680,1.5,3,572000,340.4761904761905
Redmond,1360,2.5,3,419500,308.45588235294116
Federal Way,2110,2.25,3,298700,141.56398104265404
Vashon,2034,1.0,2,549000,269.91150442477874
Seattle,1900,1.5,3,278000,146.31578947368422
Seattle,2380,2.0,4,455000,191.1764705882353
Seattle,4050,3.5,5,925000,228.39506172839506
Seattle,1120,1.5,2,465000,415.17857142857144
Issaquah,2850,4.0,4,620000,217.5438596491228
Seattle,2360,2.25,4,499900,211.82203389830508
Bellevue,2540,3.0,5,620000,244.09448818897638
Seattle,1160,1.75,3,450000,387.9310344827586
Issaquah,2710,3.5,4,690000,254.61254612546125
Bellevue,3120,2.25,5,1900000,608.974358974359
Bellevue,3120,2.25,5,1940000,621.7948717948718
Mercer Island,1870,2.0,3,832500,445.18716577540107
Seattle,1010,1.0,3,245000,242.5742574257426
Woodinville,2980,2.5,3,820000,275.1677852348993
Maple Valley,2420,2.75,4,369000,152.4793388429752
Redmond,3830,3.25,4,1050000,274.15143603133157
Seattle,3040,3.0,3,653000,214.80263157894737
North Bend,1460,1.75,2,220650,151.13013698630138
Seattle,1940,3.0,5,300000,154.63917525773195
Issaquah,3780,3.5,4,970000,256.6137566137566
Renton,1950,2.5,4,360000,184.6153846153846
Sammamish,2450,2.5,3,672500,274.48979591836735
Renton,1730,1.5,4,268000,154.91329479768785
Seattle,1690,1.5,4,440000,260.35502958579883
Seattle,2550,2.5,3,1400000,549.0196078431372
Sammamish,2290,2.5,4,590000,257.6419213973799
Auburn,2710,2.25,4,359000,132.47232472324723
Federal Way,1880,1.75,4,266500,141.75531914893617
Renton,2930,2.5,4,635000,216.7235494880546
Auburn,3110,2.5,3,559000,179.7427652733119
Redmond,3480,2.5,4,895000,257.18390804597703
Woodinville,1110,1.5,2,625000,563.063063063063
Bellevue,2440,2.25,4,650000,266.39344262295083
Renton,2280,1.75,4,312500,137.06140350877192
Seattle,900,1.0,3,225000,250.0
Redmond,1980,1.75,4,425000,214.64646464646464
Enumclaw,3360,2.75,3,329999,98.2139880952381
Redmond,2340,2.25,5,572000,244.44444444444446
Kent,3110,2.5,4,386500,124.27652733118971
Seattle,980,1.0,2,452000,461.2244897959184
Seattle,1480,2.0,4,278000,187.83783783783784
Woodinville,1800,2.25,3,474900,263.8333333333333
Seattle,2130,1.75,2,450000,211.26760563380282
Seattle,1270,1.0,2,611000,481.1023622047244
Auburn,1150,2.5,2,214100,186.17391304347825
Maple Valley,1840,2.5,3,317000,172.2826086956522
Seattle,3180,3.5,4,1000000,314.4654088050315
Seattle,1510,2.75,5,1000000,662.2516556291391
Renton,3070,2.5,4,525000,171.0097719869707
Kirkland,1800,2.25,3,436000,242.22222222222223
Sammamish,1540,1.75,3,450000,292.2077922077922
Sammamish,2330,1.75,3,588500,252.57510729613733
Seattle,1400,1.75,4,340000,242.85714285714286
Auburn,2846,2.5,4,482000,169.36050597329586
Fall City,5830,3.5,4,1580000,271.01200686106347
Bellevue,3380,2.5,3,749000,221.5976331360947
Renton,1440,1.5,3,330000,229.16666666666666
Seattle,1740,2.5,3,568000,326.4367816091954
Enumclaw,1470,1.75,3,239000,162.58503401360545
Bothell,2810,2.5,3,528000,187.90035587188612
Seattle,2090,3.0,4,385000,184.21052631578948
Kenmore,4110,3.25,4,825000,200.72992700729927
Seattle,3230,3.25,5,815000,252.32198142414862
Woodinville,2601,2.5,4,625000,240.29219530949635
Seattle,2070,1.75,3,690000,333.3333333333333
Seattle,1660,1.0,3,210000,126.50602409638554
Seattle,1590,1.0,4,599000,376.7295597484277
Seattle,1860,1.75,3,860000,462.36559139784947
Seattle,1420,1.0,3,147200,103.66197183098592
Seattle,1240,1.0,3,476900,384.5967741935484
Issaquah,2500,2.5,4,450000,180.0
Duvall,2640,2.5,4,570000,215.9090909090909
Seattle,1440,1.0,3,567500,394.09722222222223
Bellevue,3030,3.25,5,790000,260.72607260726073
Bellevue,1820,1.5,3,875000,480.7692307692308
Issaquah,2220,2.0,3,490000,220.72072072072072
Renton,2430,1.75,3,335000,137.86008230452674
Bellevue,1670,1.75,3,550000,329.34131736526945
Sammamish,1180,1.75,3,385000,326.271186440678
Bothell,1620,1.75,3,395000,243.82716049382717
Seattle,1030,1.0,2,650000,631.0679611650486
Kenmore,2900,2.75,4,637000,219.6551724137931
Kenmore,3420,2.25,3,692500,202.48538011695908
Renton,1710,1.75,3,322400,188.53801169590642
Auburn,1580,1.5,3,233500,147.78481012658227
Sammamish,1230,2.0,3,400000,325.2032520325203
Seattle,2200,2.5,5,547000,248.63636363636363
Seattle,2570,2.25,5,519000,201.9455252918288
Mercer Island,3320,3.5,4,1030000,310.2409638554217
Seattle,1090,1.0,3,365000,334.86238532110093
Woodinville,2970,2.75,5,699000,235.35353535353536
Redmond,1970,1.75,3,525000,266.497461928934
Kent,3220,3.0,4,430000,133.54037267080744
Kirkland,1600,1.0,3,325000,203.125
Seattle,670,1.0,2,279000,416.4179104477612
Seattle,2360,1.75,4,805000,341.10169491525426
Seattle,2150,3.0,3,419950,195.32558139534885
Seattle,620,1.0,2,425000,685.483870967742
Seattle,1730,1.75,4,446000,257.8034682080925
Kirkland,2500,2.0,5,455000,182.0
Seattle,990,1.0,3,226550,228.83838383838383
Seattle,1420,2.0,3,764000,538.0281690140845
Kent,2170,2.25,3,439950,202.74193548387098
Seattle,1880,2.0,4,453000,240.95744680851064
Federal Way,1300,1.0,3,219950,169.19230769230768
Seattle,2360,1.5,3,702500,297.6694915254237
Federal Way,1780,1.5,3,285000,160.1123595505618
Seattle,2160,2.25,2,798750,369.7916666666667
Seattle,950,1.0,2,320000,336.8421052631579
Issaquah,1680,1.75,3,425000,252.97619047619048
Woodinville,2290,2.5,4,540000,235.80786026200875
Sammamish,4140,5.25,4,1060000,256.03864734299515
Seattle,3920,3.75,4,1170000,298.46938775510205
Bellevue,1500,1.75,3,576000,384.0
Redmond,1720,1.75,3,525000,305.2325581395349
Kent,2641,2.5,4,324950,123.0405149564559
Woodinville,4930,2.5,3,600000,121.70385395537525
Renton,2460,2.5,3,464000,188.6178861788618
Federal Way,1995,2.25,4,266000,133.33333333333334
Redmond,3010,2.5,3,775000,257.4750830564784
Seattle,1270,1.75,3,415000,326.7716535433071
Renton,3080,2.75,4,550000,178.57142857142858
Enumclaw,1670,2.25,3,235000,140.7185628742515
Seattle,1470,2.0,3,280000,190.47619047619048
Kirkland,1730,1.75,3,459000,265.3179190751445
Federal Way,1070,1.0,3,195000,182.2429906542056
Auburn,1660,1.5,3,235000,141.56626506024097
Bellevue,2410,2.25,4,711800,295.3526970954357
Seattle,1040,2.5,3,440000,423.0769230769231
Seattle,970,1.0,2,515000,530.9278350515464
Seattle,2910,2.75,5,1200000,412.37113402061857
Bellevue,2340,1.75,3,560000,239.31623931623932
Auburn,1880,1.75,3,340000,180.85106382978722
Seattle,1110,1.0,2,600000,540.5405405405405
Sammamish,2790,2.5,4,764000,273.8351254480287
Duvall,1590,2.0,4,337000,211.9496855345912
Bellevue,5700,2.75,6,1390000,243.859649122807
Seattle,1200,1.0,4,249000,207.5
Kent,3200,3.0,3,350000,109.375
Maple Valley,1510,2.25,3,269950,178.7748344370861
Sammamish,1880,1.75,3,735000,390.9574468085106
Seattle,3070,2.5,4,1300000,423.4527687296417
Kirkland,2110,2.25,4,475000,225.11848341232226
Federal Way,2350,2.0,3,339000,144.25531914893617
Seattle,3270,3.5,4,600000,183.4862385321101
Seattle,2220,1.75,4,397500,179.05405405405406
Redmond,5990,3.5,4,1530000,255.42570951585978
Redmond,1760,2.0,3,460000,261.3636363636364
Seattle,2200,2.75,4,370000,168.1818181818182
Seattle,1550,1.0,4,250000,161.29032258064515
Redmond,5070,3.75,4,1100000,216.96252465483235
Seattle,1040,2.25,2,430000,413.46153846153845
Seattle,2560,1.5,3,1090000,425.78125
Seattle,1850,1.75,3,670000,362.1621621621622
Seattle,2090,1.5,3,461550,220.83732057416267
Issaquah,2010,2.5,3,479990,238.80099502487562
Sammamish,2518,2.5,4,643000,255.36139793486893
Redmond,2810,2.75,3,607000,216.01423487544483
Sammamish,2600,2.5,3,625000,240.3846153846154
Seattle,2060,2.5,3,731100,354.90291262135923
Kent,2920,2.5,3,859000,294.17808219178085
Renton,2130,2.5,4,435000,204.22535211267606
Auburn,2290,3.0,3,465000,203.05676855895197
Seattle,1230,1.0,3,740000,601.6260162601626
Mercer Island,2020,1.75,3,740000,366.33663366336634
Kent,1430,2.0,3,250000,174.82517482517483
Redmond,2270,2.5,2,656000,288.9867841409692
Kent,1910,2.5,4,300000,157.06806282722513
Woodinville,1780,1.5,3,643000,361.23595505617976
Kent,2690,2.5,4,311000,115.61338289962825
Kirkland,1330,1.75,3,360000,270.6766917293233
Seattle,3060,2.5,4,475000,155.22875816993465
Seattle,1760,3.25,3,469950,267.01704545454544
Seattle,1570,1.75,3,240000,152.86624203821657
Seattle,960,1.0,2,232000,241.66666666666666
Auburn,1680,2.0,3,350000,208.33333333333334
Kirkland,1440,1.0,2,803000,557.6388888888889
Renton,1960,2.25,3,355000,181.12244897959184
Seattle,1790,2.0,4,475000,265.3631284916201
Bellevue,2560,2.5,3,823000,321.484375
Seattle,1010,1.5,2,395000,391.08910891089107
Seattle,2560,3.75,4,499000,194.921875
Seattle,1200,1.75,2,420000,350.0
Bellevue,3910,2.5,3,961500,245.9079283887468
Bellevue,2260,1.75,4,833000,368.5840707964602
Woodinville,2110,2.25,3,479000,227.01421800947867
Kirkland,3340,2.5,4,1150000,344.311377245509
Seattle,1400,1.0,3,267000,190.71428571428572
Sammamish,1760,1.75,4,555000,315.34090909090907
Issaquah,2010,2.5,3,490000,243.7810945273632
Seattle,2300,2.0,4,619000,269.1304347826087
Seattle,2510,2.75,5,569950,227.07171314741035
Seattle,1340,2.0,3,549000,409.7014925373134
Redmond,1560,1.75,3,422500,270.8333333333333
Seattle,3350,3.5,4,400000,119.40298507462687
Snoqualmie,3710,2.75,4,692500,186.6576819407008
Kent,2430,2.5,4,310000,127.57201646090535
Seattle,2430,1.75,3,499900,205.7201646090535
Sammamish,2100,2.25,3,492000,234.28571428571428
Fall City,1880,2.5,2,460000,244.68085106382978
Seattle,1630,2.5,3,800000,490.79754601226995
Seattle,1640,1.0,4,832600,507.6829268292683
Bothell,2310,2.75,4,470000,203.46320346320346
Redmond,1930,2.0,2,542000,280.82901554404145
Seattle,4750,4.5,4,1310000,275.7894736842105
Seattle,2300,2.5,4,308130,133.9695652173913
Issaquah,1050,1.0,2,310000,295.23809523809524
Seattle,1500,1.0,2,235000,156.66666666666666
Renton,1150,1.0,3,215000,186.95652173913044
Federal Way,1920,1.5,4,210000,109.375
Redmond,3660,2.75,4,730000,199.45355191256832
Auburn,1720,1.75,3,245000,142.4418604651163
Seattle,2100,2.25,3,540000,257.14285714285717
Auburn,2400,2.5,4,299000,124.58333333333333
Sammamish,2540,2.5,3,510000,200.78740157480314
Auburn,2080,1.75,4,198000,95.1923076923077
Bellevue,3400,3.25,5,950000,279.4117647058824
Auburn,2200,1.75,4,300000,136.36363636363637
Kirkland,2140,1.75,5,528000,246.7289719626168
Auburn,3850,3.25,5,507000,131.6883116883117
Snoqualmie,4270,3.25,4,770000,180.327868852459
Kent,1340,1.75,3,255000,190.29850746268656
Seattle,1100,1.5,1,220000,200.0
Renton,2870,2.75,5,690700,240.66202090592336
Seattle,1320,1.0,2,447000,338.6363636363636
Seattle,2150,2.0,6,755000,351.16279069767444
Seattle,2470,1.5,4,700000,283.4008097165992
Kent,1910,2.75,4,250000,130.89005235602093
Maple Valley,2130,2.5,3,320000,150.23474178403757
Renton,2240,2.5,4,565000,252.23214285714286
Seattle,1800,2.75,5,754300,419.05555555555554
Seattle,2160,1.5,3,650000,300.9259259259259
Renton,3140,2.5,4,529888,168.75414012738852
Kenmore,1920,2.5,3,432000,225.0
Enumclaw,1050,1.0,3,235000,223.8095238095238
Redmond,3695,3.5,4,994900,269.255751014885
Maple Valley,3910,2.5,4,489000,125.06393861892583
Redmond,3010,2.75,4,800000,265.78073089700996
Kirkland,1370,1.5,4,370000,270.0729927007299
Kirkland,2080,2.75,4,436000,209.6153846153846
Renton,2250,2.5,3,395000,175.55555555555554
Seattle,2120,1.75,5,377691,178.1561320754717
Seattle,2220,3.0,5,370000,166.66666666666666
Issaquah,1440,2.5,3,515000,357.6388888888889
Auburn,910,1.0,3,169000,185.71428571428572
Seattle,1270,1.0,3,475000,374.01574803149606
Kent,2480,2.5,3,420000,169.3548387096774
Seattle,2630,2.75,6,1300000,494.2965779467681
Bellevue,2410,2.0,3,822000,341.07883817427387
Bellevue,2930,2.75,4,1500000,511.9453924914676
Sammamish,1570,2.25,3,485000,308.9171974522293
Renton,1900,1.0,4,270000,142.10526315789474
Renton,2590,2.5,6,300000,115.83011583011583
Sammamish,3810,2.5,4,878000,230.4461942257218
Bellevue,2290,2.5,3,590000,257.6419213973799
Kirkland,1220,2.25,1,611900,501.55737704918033
Auburn,1100,1.75,3,240000,218.1818181818182
Auburn,2810,2.5,4,395000,140.5693950177936
Seattle,890,1.0,3,169000,189.8876404494382
Kent,1280,2.0,3,200500,156.640625
Federal Way,2320,2.5,3,308000,132.75862068965517
Federal Way,1720,2.25,3,290256,168.75348837209302
Renton,1530,1.75,3,279950,182.9738562091503
Enumclaw,1580,1.75,3,195000,123.41772151898734
Black Diamond,1360,1.0,3,630000,463.2352941176471
Medina,2680,3.0,4,1160000,432.8358208955224
Issaquah,1640,2.25,3,478000,291.4634146341463
Seattle,2520,2.25,3,835000,331.3492063492063
Kirkland,1400,2.25,3,639000,456.42857142857144
Sammamish,2300,2.75,4,623000,270.8695652173913
Seattle,1900,1.75,3,220000,115.78947368421052
Bellevue,2000,2.25,3,526000,263.0
Seattle,900,1.0,2,243500,270.55555555555554
