location,total_sqft,bath,bhk,floors,zipcode,price
Seattle,760,1,3,1,98118,167500
Vashon,2240,1.75,3,2,98070,550000
Mercer Island,2240,2.25,4,2,98040,939000
Seattle,1820,1.75,3,1,98146,700000
North Bend,3370,3.5,4,2,98045,480000
Seattle,1160,1,3,1,98105,501000
Redmond,1640,2.25,3,1,98052,580000
Snoqualmie,820,0.75,1,1,98065,527550
Maple Valley,2800,2.5,4,2,98038,399000
Seattle,1780,1.75,3,1.5,98146,240000
Auburn,2200,2.75,4,1,98092,353000
Seattle,1480,2,4,1,98108,335000
Seattle,2010,3,3,2,98118,475000
Seattle,2880,2,3,1.5,98117,660000
Seattle,940,1,3,1,98107,551000
Kent,1620,1.75,4,1,98030,249950
Sammamish,4400,3.25,4,2,98075,1150000
Seattle,1530,1.75,3,1,98116,575000
Bellevue,3460,2.75,4,1,98006,1090000
Snoqualmie,2890,2.5,4,2,98065,515000
Seattle,1980,1.5,3,1,98168,235000
Seattle,1980,1,3,1.5,98102,796000
Seattle,1450,1.5,2,1,98103,450000
Seattle,4280,3,4,1,98116,2050000
Kent,1810,2.5,4,2,98042,270000
Seattle,2490,3,3,2,98116,1710000
Seattle,1610,1,3,1.5,98126,565000
Seattle,1820,2.5,1,2,98103,680000
Medina,9200,5.75,5,2,98039,5570000
Woodinville,3520,2.5,4,2,98077,864500
Seattle,3740,2.25,4,1,98177,1150000
Seattle,2150,2.25,3,2,98188,335000
Sammamish,3526,3.25,4,2,98075,911000
Seattle,1070,1,2,1,98116,425000
Renton,1410,1,3,1,98058,299950
Sammamish,3190,2.5,4,2,98074,864000
Seattle,1270,1,2,1,98199,425000
Renton,1970,1.5,4,1.5,98059,374950
Kent,1640,2.25,3,1,98032,247000
Seattle,1600,1,3,1,98118,475000
Auburn,3020,2.5,3,2,98092,275000
Woodinville,1350,1,2,1,98077,355000
Kent,1870,1.75,4,1,98042,285000
Seattle,2730,2.75,3,1.5,98146,1340000
Duvall,1100,1,2,1,98019,325000
Bellevue,4320,3.5,5,2,98004,1670000
Seattle,2700,2.5,3,1,98198,402000
Seattle,3700,3,3,1,98117,1100000
Kenmore,2190,1.75,4,1,98028,375000
Kenmore,2840,2.75,5,1,98028,396000
Renton,2610,2.75,4,1,98058,320000
Redmond,2630,2.5,3,2,98053,610000
Renton,1090,1.5,3,1,98058,249950
Auburn,3090,3.5,4,2,98092,675000
Seattle,1670,2,2,1,98126,448000
Seattle,1300,1,3,2,98119,819000
Seattle,3670,2.5,3,1,98177,1250000
Kent,1700,2.5,4,2,98030,225000
Carnation,2560,3,2,1,98014,790000
Seattle,2770,2.5,4,2,98136,685000
Sammamish,3240,3.25,3,2,98074,812000
Redmond,2300,2.5,2,1,98053,705000
Kent,2483,3,4,2,98030,360000
Seattle,760,1.5,1,3,98107,344000
Seattle,2040,1.5,4,2,98112,825000
Seattle,1200,1,3,1,98115,476500
Seattle,960,1,2,1,98126,379500
Woodinville,2410,1.75,3,1,98072,620000
Seattle,2260,3.25,3,2,98146,477590
Seattle,1910,1,3,1,98117,490000
Seattle,1500,1.5,3,1.5,98117,470000
Seattle,1360,2.25,3,2,98112,500000
Seattle,1320,1,3,1,98155,370000
Seattle,1940,1.5,2,1,98112,790000
Bellevue,2650,2.5,4,2,98005,725000
Seattle,3040,2.75,4,2,98102,840000
Seattle,1240,1,3,1,98166,390000
Seattle,2210,2.25,3,1,98155,507000
Seattle,1540,1.75,3,1,98118,263500
Seattle,1320,2.5,3,2,98106,369000
Renton,3040,2.5,3,2,98055,500000
Seattle,910,1,2,1,98117,570000
Auburn,2040,3,4,1,98092,284000
Seattle,980,1,2,1,98117,415000
Seattle,980,1,3,1.5,98118,197500
Seattle,4420,3.75,4,2,98125,925000
Seattle,1570,2,3,1,98118,468000
Seattle,1600,1,3,1.5,98125,355000
Seattle,1830,1.75,4,1,98199,639000
Sammamish,2820,2.5,3,2,98074,720000
Seattle,1800,1.75,3,1,98155,381000
Redmond,4380,4,3,2,98052,1050000
Issaquah,2980,3,3,2,98029,670000
Seattle,1690,1,3,1,98133,400000
Woodinville,4040,3.5,4,2,98077,910000
Kirkland,1250,1,3,1,98034,294000
Renton,1500,1.75,3,1,98058,315001
Renton,1630,2,3,1,98059,360000
Seattle,1410,2,3,2,98122,520000
Seattle,1140,1,3,1,98117,474000
Redmond,3280,2.5,4,2,98053,702000
Maple Valley,3490,3.5,4,2,98038,728000
Renton,2020,2.5,4,2,98055,308000
Sammamish,4580,4,5,3,98075,2000000
Auburn,2270,2.5,3,2,98092,340000
Snoqualmie,1310,1.75,2,1,98065,306500
Seattle,1420,2,3,1.5,98119,716000
Kirkland,2980,3,4,2,98034,950000
Redmond,4180,3,5,2,98053,673200
Seattle,1950,2.25,4,1,98115,564500
Renton,1790,1.75,4,1,98056,393000
Carnation,1400,1.75,5,1,98014,425000
Seattle,1320,1,3,1,98168,150000
Kent,1620,2.25,4,1,98042,327000
Kent,3120,2.5,4,2,98042,444900
Federal Way,2100,2.5,4,2,98023,305000
Seattle,1370,3.25,3,3,98107,469000
Bellevue,1520,1.75,3,1,98006,525000
Kent,2410,2.5,3,1,98030,330000
Seattle,1260,1,4,1,98105,618000
Federal Way,2830,2.5,4,1,98023,295500
Vashon,2064,2,3,2,98070,567035
Issaquah,2640,2.25,4,1,98027,518000
North Bend,1020,1,2,1,98045,303000
Kent,2200,2.5,4,2,98031,300000
Bellevue,1420,1.5,3,1,98007,413107
Seattle,1350,1,3,1.5,98103,400000
Seattle,1290,1,3,1,98136,535000
Seattle,1680,2,4,1,98107,555000
Kent,2280,2.5,3,2,98042,312000
Seattle,1840,2.25,3,1.5,98122,785200
Kirkland,2040,2,4,1,98033,749000
Seattle,1490,1.5,3,1,98146,285000
Snoqualmie,2440,2.5,4,2,98065,425000
Seattle,1930,2,3,1,98155,360000
Seattle,1200,1,3,1,98106,260000
Seattle,1550,2,3,1,98106,369000
Federal Way,2180,2.5,4,1,98023,275000
Seattle,1430,2.25,3,3,98103,407000
Seattle,1230,1.75,2,1,98117,575000
Seattle,1670,1.5,3,2,98119,1240000
Seattle,2720,2.5,2,1,98199,875000
Renton,2220,1.5,4,1,98056,320000
Bellevue,1520,1.5,3,1,98004,810000
Maple Valley,1590,1.75,3,1,98038,274000
Kent,1480,1.75,4,1,98030,239900
Seattle,1860,1.5,4,1,98125,450000
Auburn,1360,2,4,1,98001,263400
Seattle,1360,1,3,1,98178,265000
Seattle,2360,3,4,1,98118,418000
Kenmore,2360,2,3,2,98028,390000
Seattle,1860,2,3,1,98106,430000
Redmond,2630,2.25,3,2.5,98052,1440000
Enumclaw,1280,1.75,2,1,98022,297000
Seattle,2330,2.25,4,2,98177,650000
Seattle,720,1,2,1,98178,195000
Renton,3380,3.5,3,2,98058,554000
Vashon,3650,2,3,2,98070,550000
Seattle,1640,1.75,3,1.5,98115,700000
Snoqualmie,1730,1,4,1.5,98065,300000
Seattle,1030,1,2,1.5,98155,315000
Seattle,1790,1,3,1,98105,603000
Seattle,840,1,2,1,98119,530000
Redmond,1300,1.75,3,1,98052,397500
Renton,1240,1,3,1.5,98055,221000
Woodinville,2170,2.25,4,1,98072,466000
Enumclaw,1330,1,3,2,98022,197500
Seattle,1390,3,3,2,98118,280000
Seattle,1240,1.5,2,1,98116,412000
Seattle,880,1,2,1,98116,454000
Duvall,2540,2.25,4,1,98019,540000
Enumclaw,2520,1.5,5,1.5,98022,250000
Bellevue,2510,2.25,5,1,98005,900000
Seattle,2020,1.75,5,1,98168,245000
Kent,2060,1.75,3,1,98030,290000
Seattle,930,1,2,1,98168,160000
Seattle,2700,1.5,2,1.5,98116,1260000
Seattle,1060,1,2,1,98125,325000
Seattle,670,1,2,1,98188,185000
Seattle,1750,2,3,1,98107,477000
Seattle,930,1,2,1,98166,100000
Federal Way,2420,2.5,4,1,98003,345000
Seattle,2410,2.25,4,1,98166,530000
Seattle,1150,1,3,1,98168,203000
Redmond,2480,2.5,4,2,98053,599000
Seattle,1310,1,4,1.5,98144,370000
Seattle,1240,1,3,1,98198,140000
Seattle,1150,1,3,2,98136,500000
Seattle,1460,1.75,3,1,98144,527200
Seattle,3060,2.75,5,1,98146,549900
Redmond,3520,2.5,4,2,98052,760000
Seattle,960,1,2,1,98118,319000
Kent,2430,2.5,3,2,98030,362300
Seattle,1930,2.5,3,1,98198,421000
Seattle,1090,1,3,1.5,98117,690000
Issaquah,2790,2.5,3,1,98027,640000
Auburn,1650,1.75,4,1,98002,238000
Vashon,3740,3,3,2,98070,789000
Mercer Island,5310,4,6,2,98040,1050000
Kent,1690,2.5,3,2,98042,302500
Renton,1400,1.75,4,1,98058,259950
Sammamish,1440,1.5,3,1,98075,456000
Redmond,1360,2.5,3,2,98052,369950
Vashon,1726,1.75,3,2,98070,363750
Carnation,2220,1.75,3,1,98014,585000
Federal Way,1850,2.5,3,2,98023,268000
Seattle,2860,2.5,5,2,98102,1200000
Seattle,1120,1,3,1,98118,345000
Seattle,2340,2.5,4,2,98155,539000
Bellevue,3760,3.25,5,2,98006,851000
Seattle,1920,2.5,3,2,98116,900000
Seattle,3230,2.5,3,2,98117,850000
Bellevue,1260,1.75,3,1,98008,390000
Seattle,1540,1.75,3,1,98155,345000
Issaquah,1700,2.5,3,2,98029,534500
Seattle,3600,5.25,6,2,98126,643500
Seattle,3150,2.75,3,1.5,98112,1210000
Seattle,1280,1.75,2,1,98116,495000
Seattle,980,1,2,1,98115,535000
Snoqualmie,2190,2.5,4,2,98065,435000
Seattle,2470,2,4,2,98166,305000
Seattle,2590,2.5,4,2,98115,799000
Redmond,2580,2.5,4,2,98052,700000
Seattle,1270,2.25,3,2,98107,467000
Renton,1250,1,3,1,98058,263000
Renton,4660,2.5,4,2,98059,760000
Enumclaw,2019,2.5,4,2,98022,293000
Auburn,1490,2,3,1,98002,245000
Vashon,1560,1.5,2,1,98070,181000
Renton,1030,1,3,1,98056,240000
Kirkland,2560,2.75,4,1,98033,880000
Maple Valley,1460,2,3,1,98038,285000
Seattle,770,1,2,1,98125,407500
Renton,1960,2.5,4,2,98056,325000
Seattle,1900,1.75,3,1,98155,405000
Seattle,1970,2.5,3,1.5,98106,291700
Enumclaw,2490,2.5,3,2,98022,370000
Seattle,1430,1.5,3,1,98166,270000
Kirkland,2680,2.5,4,1,98033,800000
Seattle,1610,1.75,3,1,98103,626500
Mercer Island,4300,3.5,4,2,98040,1130000
Maple Valley,3200,2.5,4,2,98038,399950
Seattle,2140,1.75,3,1,98166,419000
Sammamish,4240,2.5,4,2,98075,1160000
Bellevue,3410,3.5,4,2,98004,1410000
Kirkland,2090,2.75,4,2,98033,710000
Kirkland,1410,1,3,1,98033,650000
Woodinville,2820,2.5,4,2,98072,369900
Carnation,2770,2.5,4,2,98014,641000
Seattle,1400,1,3,1,98155,403000
Seattle,3620,3.25,3,2,98199,1020000
Mercer Island,2260,2.5,4,1,98040,865000
Mercer Island,3440,2.5,4,1.5,98040,2490000
Seattle,2150,1,4,2,98126,810000
Seattle,1256,2.5,3,3,98125,316750
Issaquah,2220,2.25,4,2,98027,652500
Seattle,2850,2.75,6,1,98106,360000
Renton,700,1,2,1,98056,208000
Woodinville,3700,2.5,4,2,98077,898000
Kenmore,1400,1.75,4,1,98028,295000
Seattle,3130,1.75,4,2,98133,652500
Issaquah,2170,3,4,2,98029,560000
Renton,1020,1,3,1,98056,280000
Seattle,1760,2.5,3,1.5,98148,289950
Renton,1860,2.5,3,1,98055,397500
Woodinville,1140,1,2,1,98077,380000
North Bend,1670,2.5,3,1,98045,415900
Seattle,1710,1.75,2,1,98115,475000
Seattle,500,1,1,1,98106,125000
Kent,1470,1,3,1,98042,238000
Seattle,1370,1.5,4,1,98168,296000
Kenmore,3470,3,6,1.5,98028,475000
Seattle,1650,2.25,3,1.5,98116,390000
Seattle,1180,1,3,1,98116,425000
Seattle,3110,3,6,1.5,98103,725000
Redmond,2080,2.25,3,1,98052,605000
Seattle,1600,1,3,2,98122,302000
Seattle,2380,2.25,3,2,98199,886000
Seattle,1630,1.75,4,1,98115,540000
Woodinville,1910,2.25,4,2,98072,435000
Seattle,3140,3.25,4,2,98146,409000
Redmond,1250,1,3,1,98052,405000
Sammamish,1990,2.5,3,2,98075,560200
Renton,2110,1.75,4,1,98058,324000
Auburn,2490,2.5,4,2,98092,390000
Renton,800,1,2,1,98055,414000
Snoqualmie,2360,2.5,3,2,98065,441500
Seattle,1770,2.5,3,2,98106,375000
Sammamish,2710,2.5,4,2,98074,668500
Seattle,1940,1.5,5,1.5,98125,540000
Seattle,3450,3.25,4,2,98166,1040000
Seattle,3440,3.25,4,2,98116,1350000
Kirkland,2410,2.75,4,1,98033,758000
Bellevue,2290,2.25,4,2,98004,949880
Seattle,1030,1,3,1.5,98116,570000
Bellevue,2290,2.5,4,2,98006,736000
Seattle,1490,1.5,3,1.5,98122,670000
Seattle,2370,1.75,4,1,98105,1130000
Seattle,1930,2,4,1.5,98122,650000
Seattle,1600,1.75,2,1,98112,690000
Redmond,2240,2.25,4,2,98053,610000
Seattle,770,1,2,1,98117,413500
Sammamish,2300,2.5,3,2,98075,765000
Bellevue,3400,2.75,4,2,98006,828200
Renton,900,1,2,1,98055,205000
Seattle,1450,2.5,3,1,98133,465000
Seattle,2240,2.5,4,2,98133,556000
Issaquah,1780,2.5,4,2,98029,540000
Renton,2320,2.5,4,2,98059,423000
Bellevue,1590,1.75,3,1,98007,375000
Seattle,990,1,3,1.5,98168,173250
Duvall,2605,1.5,3,1,98019,599900
Seattle,2870,2.75,5,1,98107,646000
Snoqualmie,5180,4.75,5,2,98065,1080000
Seattle,2180,2,4,1,98122,558000
Seattle,850,1,2,1,98126,354000
Mercer Island,4050,4,4,2,98040,1200000
Seattle,2250,2,4,1.5,98122,670000
Seattle,3100,4.25,6,3,98112,1130000
Auburn,1747,1,2,2.5,98001,267500
Auburn,2410,2.5,4,2,98092,299800
Bellevue,2070,1.75,4,1,98008,430000
Seattle,1860,1,5,1.5,98103,775000
Seattle,950,1,3,1,98126,333000
Seattle,1060,2,3,1,98125,336000
Seattle,880,1,2,2,98199,323000
Issaquah,2550,2.5,4,2,98027,575000
Seattle,1550,2.25,2,2,98106,328000
Seattle,1590,1,3,1.5,98117,572500
Seattle,1650,1.75,3,1,98115,600000
Maple Valley,2430,3,4,2,98038,412000
Kirkland,1810,2.5,3,1,98033,827500
Federal Way,2890,2.5,4,2,98023,300000
Seattle,1280,2.5,3,2,98118,415000
Seattle,3410,2.75,7,1.5,98102,750000
Seattle,2220,2.75,3,2,98122,800000
Seattle,1060,1,3,1,98118,420000
Renton,1120,1.5,3,1,98056,266000
Duvall,2680,2.5,4,2,98019,499000
Seattle,1770,1.5,4,2,98116,440000
Seattle,2950,2,3,2,98166,495000
Seattle,1260,1.75,2,1,98103,630000
Kirkland,1430,1.75,3,1,98034,424000
Redmond,2730,2.5,4,2,98052,760000
Sammamish,3270,3.5,4,2,98074,650000
Kent,1720,1.75,4,1,98042,248500
Renton,1270,1.75,3,1,98056,379600
Seattle,3260,2.5,4,1,98125,538000
Issaquah,2050,2.5,4,2,98029,530000
Bellevue,2050,2.25,4,2,98008,545000
Woodinville,3580,3,4,1.5,98072,925000
Woodinville,1960,2.75,4,1.5,98072,565000
Seattle,840,1,2,1,98199,405100
Bellevue,1300,1.75,3,1,98008,502000
Issaquah,1260,2.25,3,2,98029,425000
Kent,1650,2.25,3,2,98031,233500
Kent,1710,2.5,3,2,98030,287000
Auburn,1180,1,3,1,98002,190000
Redmond,2780,2.25,3,2,98053,666000
Seattle,950,1,2,1,98118,330000
Mercer Island,3620,3.5,5,2,98040,1490000
Maple Valley,2140,2.25,3,2,98038,393000
Seattle,1920,2.75,4,1,98178,353000
Seattle,750,1,2,1,98108,260000
Bellevue,2060,2.5,3,2,98005,680000
Bellevue,2380,2.25,3,1,98004,921000
Seattle,750,1,2,1,98125,319000
Sammamish,1160,1,3,1,98074,280000
Seattle,1050,1,3,1,98146,220000
Kent,1740,1.5,3,1,98042,219000
Sammamish,2050,2.75,4,1,98074,528000
Seattle,1980,1.75,3,1,98133,405000
Issaquah,1690,2.5,3,2,98029,372977
Seattle,2320,3.25,4,1.5,98144,934550
Seattle,2480,1.5,3,2,98177,1470000
Seattle,2290,2.25,4,2,98199,975000
Kirkland,3180,2.5,5,2,98033,800866
Bellevue,3470,3.5,7,2,98007,950000
Seattle,1540,3,4,1.5,98107,624000
Sammamish,2800,2.25,5,2,98075,1850000
Kenmore,1050,1,3,1,98028,310000
Renton,1480,1.75,3,1,98055,315000
Kirkland,1010,2,3,1,98033,675000
Bellevue,1660,1.75,3,1,98005,490000
Seattle,2760,2.25,5,1,98126,600000
Carnation,1040,1,2,1,98014,154000
Seattle,2220,1.75,4,2,98166,480000
Seattle,1270,1,3,1,98198,196900
Bothell,2960,3.25,3,2,98011,735000
Federal Way,1330,2,3,1,98003,205500
Issaquah,1210,1.75,2,2,98029,357186
Kent,2120,2.5,4,2,98030,275000
Auburn,2090,1.75,3,1,98002,248500
Auburn,2680,2.5,3,2,98092,350000
North Bend,1790,2.75,4,1,98045,390000
Kenmore,1950,2.75,3,1,98028,390000
Sammamish,3740,2.25,5,1.5,98074,660000
Seattle,1140,1.75,3,1,98155,310000
Redmond,2480,2.5,3,2,98052,717000
Seattle,2580,2.5,5,1,98198,260000
Seattle,2290,2,3,1,98103,745000
Woodinville,2320,2.5,4,1,98072,470000
Kent,2530,2.5,3,2,98031,429000
Seattle,1400,2,4,1,98155,220000
Seattle,2060,3,3,2,98119,497000
Seattle,1640,1,3,1.5,98103,716100
Issaquah,1960,1,4,1.5,98027,371000
Issaquah,3000,2.75,5,1,98027,379000
Medina,1320,1,3,1,98039,937500
Seattle,1760,2,4,1.5,98103,720000
Seattle,2130,3.25,3,2,98136,616000
Kent,1390,2,3,1,98030,259000
Seattle,1400,1.75,3,1.5,98117,538000
Kirkland,3230,2.75,3,1.5,98034,605000
Kirkland,1110,1,3,1,98034,369950
Maple Valley,1670,2.5,3,2,98038,310000
Seattle,1540,1,3,1,98198,227500
Federal Way,2090,2.25,4,1,98023,274000
Kirkland,1410,2,3,1,98034,410000
Kent,1370,2,3,1,98042,354800
Seattle,1910,2.25,4,1,98199,650000
Kent,1678,2,3,1,98030,353000
Maple Valley,960,1,3,1,98038,224975
Seattle,2080,1.75,2,1,98155,600000
Kirkland,1790,2.25,3,1,98034,437500
Kirkland,2540,2.5,3,2,98034,567000
Seattle,1790,1.5,5,2,98198,225000
Seattle,940,1,2,1,98118,255000
Seattle,6810,3.75,5,2.5,98102,2480000
Seattle,900,1,2,1,98117,370000
Kirkland,1900,1.75,4,1,98033,675000
Seattle,1440,1,3,1,98108,285000
Renton,2070,1.75,3,1,98058,310000
Kirkland,2240,2.5,4,1,98034,475000
Kent,3320,2.5,4,2,98042,410000
Seattle,1950,2.25,4,1,98109,895000
Seattle,1240,1.5,3,1,98125,375000
Maple Valley,1830,2.5,4,2,98038,349000
Seattle,1740,1.75,3,1.5,98122,650500
Bellevue,1410,1.75,3,1,98004,760000
Seattle,2050,2.75,4,1,98116,480000
Sammamish,3220,2.75,4,2,98075,689000
Seattle,1960,1.75,3,1,98108,415000
Auburn,1070,1.75,3,1,98002,195000
Seattle,2820,2.5,5,1,98168,318000
Auburn,4060,3,4,1,98092,404000
Seattle,800,1,2,1,98118,339950
Enumclaw,1260,1,3,1,98022,215000
Auburn,2420,2.5,3,2,98092,339900
Kirkland,810,1.5,1,2,98033,285000
Seattle,1600,1,3,1.5,98107,550000
Seattle,1350,1,4,1.5,98103,430000
Federal Way,970,1,3,1,98003,219000
Seattle,1780,1.5,2,1,98117,555000
Maple Valley,1350,2,3,1,98038,233000
Federal Way,1840,1.75,3,1,98003,248000
Seattle,2550,2.25,5,1,98166,454000
Seattle,1700,2.5,4,2,98112,950000
Renton,2430,2.5,3,2,98055,359000
Seattle,2740,2,5,1.5,98155,407500
Auburn,1560,1.5,3,1,98001,224000
Seattle,1040,1,2,1,98146,210000
Kent,1820,1.75,4,1,98042,261000
Seattle,1833,3,3,3,98115,719000
Seattle,2160,2.5,3,2,98126,440000
North Bend,2100,2.75,3,2,98045,525000
Kirkland,1370,1.5,3,2,98034,375000
Bellevue,1414,2.5,2,2,98006,428000
Redmond,4115,3.25,5,2,98053,988830
Auburn,1550,1.75,3,1,98002,199950
Seattle,2100,2.25,4,1.5,98112,840000
Enumclaw,1160,1.75,3,1,98022,285000
Auburn,3597,2.5,5,2,98001,330000
Seattle,1230,1.5,3,1,98198,147500
Kent,2190,2.5,4,2,98032,320000
Issaquah,1040,1.75,3,1,98027,382500
Seattle,4690,4,5,2,98112,2050000
Bellevue,2270,2.25,4,1,98006,596000
Federal Way,1950,2.25,4,2,98023,220000
Kent,1880,2.5,3,2,98031,325000
Sammamish,2850,2.5,4,2,98075,679950
Seattle,1160,1,2,1,98125,175000
Federal Way,1370,1.75,3,1,98023,268000
Redmond,3260,3.5,4,2,98053,715000
Issaquah,3170,2.25,7,2,98027,600000
Seattle,390,1,0,1,98118,228000
Redmond,3450,2.5,5,2,98052,950000
Auburn,1490,1.75,2,1,98092,475000
Sammamish,1460,1.5,3,1,98075,700000
Fall City,1300,1.75,3,1,98024,275000
Fall City,1300,1.75,3,1,98024,369500
Kent,1540,2,4,1,98032,215000
Bellevue,2130,2.25,4,2,98008,593450
Redmond,1350,1.75,2,1,98053,498800
Seattle,2450,3.25,5,2,98115,849000
Seattle,1940,2.5,4,2,98112,1150000
Issaquah,2890,2.5,5,2,98029,825000
Renton,1680,1.75,3,1,98058,265000
Federal Way,1960,2.25,4,1,98023,285000
Maple Valley,1590,1.75,3,1,98038,240000
Federal Way,1390,1,4,1,98003,261000
Kent,2440,1.75,4,1,98032,330000
Kent,1850,2,4,1,98032,250000
Federal Way,2800,2.5,4,2,98003,350000
Woodinville,3780,2.5,3,1.5,98072,930000
Kent,1910,2,3,1,98030,275000
Seattle,2460,2.25,4,1,98106,325000
Seattle,810,1,1,1,98106,255000
Seattle,1900,1.5,3,1,98117,562200
Bellevue,3490,1.75,2,1,98006,952000
Renton,2200,2.5,3,1,98058,365000
Woodinville,1190,1.5,3,1,98077,332900
Redmond,2040,2.25,3,2,98052,721000
Snoqualmie,2400,2.5,4,2,98065,487275
Renton,1670,2.5,3,2,98055,310000
Seattle,990,1,2,1,98118,245000
Renton,2920,1.75,3,1,98055,325000
Sammamish,1840,1.75,3,1,98075,550000
Seattle,910,1,2,1.5,98118,350000
Renton,2950,2.5,5,2,98058,599000
Seattle,1240,1.5,3,1,98166,259950
Maple Valley,1980,2.5,4,2,98038,240000
Kent,1200,1,3,1,98042,186000
Sammamish,1280,1.5,3,1,98074,395000
Renton,3150,2.5,4,2,98058,475000
Sammamish,3500,3.5,5,2,98075,815000
Mercer Island,1680,1.5,3,1,98040,572000
Redmond,1360,2.5,3,2,98052,419500
Federal Way,2110,2.25,3,1,98023,298700
Vashon,2034,1,2,1,98070,549000
Seattle,1900,1.5,3,1,98168,278000
Seattle,2380,2,4,1.5,98118,455000
Seattle,4050,3.5,5,1,98166,925000
Seattle,1120,1.5,2,3,98103,465000
Issaquah,2850,4,4,2,98029,620000
Seattle,2360,2.25,4,1,98155,499900
Bellevue,2540,3,5,1,98006,620000
Seattle,1160,1.75,3,1,98115,450000
Issaquah,2710,3.5,4,2,98029,690000
Bellevue,3120,2.25,5,2,98004,1900000
Bellevue,3120,2.25,5,2,98004,1940000
Mercer Island,1870,2,3,1,98040,832500
Seattle,1010,1,3,1,98188,245000
Woodinville,2980,2.5,3,1.5,98077,820000
Maple Valley,2420,2.75,4,2,98038,369000
Redmond,3830,3.25,4,2,98053,1050000
Seattle,3040,3,3,3,98118,653000
North Bend,1460,1.75,2,1,98045,220650
Seattle,1940,3,5,1,98168,300000
Issaquah,3780,3.5,4,2,98029,970000
Renton,1950,2.5,4,2,98058,360000
Sammamish,2450,2.5,3,2,98074,672500
Renton,1730,1.5,4,1.5,98056,268000
Seattle,1690,1.5,4,1.5,98126,440000
Seattle,2550,2.5,3,2,98144,1400000
Sammamish,2290,2.5,4,2,98074,590000
Auburn,2710,2.25,4,1,98001,359000
Federal Way,1880,1.75,4,1,98023,266500
Renton,2930,2.5,4,2,98056,635000
Auburn,3110,2.5,3,2,98092,559000
Redmond,3480,2.5,4,2,98053,895000
Woodinville,1110,1.5,2,1,98072,625000
Bellevue,2440,2.25,4,1,98007,650000
Renton,2280,1.75,4,1,98055,312500
Seattle,900,1,3,1,98168,225000
Redmond,1980,1.75,4,1,98052,425000
Enumclaw,3360,2.75,3,1,98022,329999
Redmond,2340,2.25,5,2,98052,572000
Kent,3110,2.5,4,2,98042,386500
Seattle,980,1,2,1,98107,452000
Seattle,1480,2,4,1,98122,278000
Woodinville,1800,2.25,3,1,98072,474900
Seattle,2130,1.75,2,1,98199,450000
Seattle,1270,1,2,1,98115,611000
Auburn,1150,2.5,2,2,98001,214100
Maple Valley,1840,2.5,3,2,98038,317000
Seattle,3180,3.5,4,2,98177,1000000
Seattle,1510,2.75,5,2,98105,1000000
Renton,3070,2.5,4,2,98059,525000
Kirkland,1800,2.25,3,2,98034,436000
Sammamish,1540,1.75,3,1,98074,450000
Sammamish,2330,1.75,3,1,98074,588500
Seattle,1400,1.75,4,1,98166,340000
Auburn,2846,2.5,4,1.5,98001,482000
Fall City,5830,3.5,4,2,98024,1580000
Bellevue,3380,2.5,3,2,98008,749000
Renton,1440,1.5,3,1,98058,330000
Seattle,1740,2.5,3,3,98116,568000
Enumclaw,1470,1.75,3,1,98022,239000
Bothell,2810,2.5,3,2,98011,528000
Seattle,2090,3,4,1,98106,385000
Kenmore,4110,3.25,4,2,98028,825000
Seattle,3230,3.25,5,2,98136,815000
Woodinville,2601,2.5,4,2,98072,625000
Seattle,2070,1.75,3,1,98136,690000
Seattle,1660,1,3,1,98106,210000
Seattle,1590,1,4,1.5,98103,599000
Seattle,1860,1.75,3,1,98199,860000
Seattle,1420,1,3,1,98188,147200
Seattle,1240,1,3,1.5,98116,476900
Issaquah,2500,2.5,4,1,98027,450000
Duvall,2640,2.5,4,2,98019,570000
Seattle,1440,1,3,1.5,98115,567500
Bellevue,3030,3.25,5,2,98008,790000
Bellevue,1820,1.5,3,1,98004,875000
Issaquah,2220,2,3,2,98027,490000
Renton,2430,1.75,3,1,98059,335000
Bellevue,1670,1.75,3,1,98006,550000
Sammamish,1180,1.75,3,1,98074,385000
Bothell,1620,1.75,3,1,98011,395000
Seattle,1030,1,2,1,98116,650000
Kenmore,2900,2.75,4,2,98028,637000
Kenmore,3420,2.25,3,1,98028,692500
Renton,1710,1.75,3,1,98059,322400
Auburn,1580,1.5,3,1,98002,233500
Sammamish,1230,2,3,1,98074,400000
Seattle,2200,2.5,5,1.5,98103,547000
Seattle,2570,2.25,5,1,98166,519000
Mercer Island,3320,3.5,4,1,98040,1030000
Seattle,1090,1,3,1,98106,365000
Woodinville,2970,2.75,5,2,98072,699000
Redmond,1970,1.75,3,1,98052,525000
Kent,3220,3,4,2,98031,430000
Kirkland,1600,1,3,1,98034,325000
Seattle,670,1,2,1,98126,279000
Seattle,2360,1.75,4,2,98115,805000
Seattle,2150,3,3,1.5,98125,419950
Seattle,620,1,2,1,98117,425000
Seattle,1730,1.75,4,2,98125,446000
Kirkland,2500,2,5,1,98034,455000
Seattle,990,1,3,1,98106,226550
Seattle,1420,2,3,1.5,98103,764000
Kent,2170,2.25,3,2,98042,439950
Seattle,1880,2,4,1,98103,453000
Federal Way,1300,1,3,1,98003,219950
Seattle,2360,1.5,3,2,98103,702500
Federal Way,1780,1.5,3,1,98003,285000
Seattle,2160,2.25,2,3,98103,798750
Seattle,950,1,2,1,98126,320000
Issaquah,1680,1.75,3,1.5,98027,425000
